0 0.693069
1 0.050495
2 0.0326733
3 0.0288119
4 0.0259406
5 0.0266337
6 0.0280198
7 0.0280198
8 0.0307921
9 0.029703
10 0.0330693
11 0.03
12 0.0338614
13 0.0319802
14 0.0334653
15 0.0314851
16 0.0337624
17 0.0289109
18 0.0305941
19 0.0312871
20 0.0310891
21 0.0340594
22 0.0327723
23 0.0340594
24 0.0314851
25 0.0342574
26 0.0321782
27 0.0359406
28 0.0344554
29 0.0372277
30 0.0380198
31 0.0372277
32 0.0389109
33 0.0384158
34 0.0343564
35 0.0358416
36 0.0326733
37 0.0337624
38 0.0334653
39 0.0325743
40 0.0318812
41 0.0323762
42 0.0335644
43 0.0343564
44 0.0349505
45 0.0319802
46 0.0361386
47 0.0348515
48 0.0359406
49 0.0384158
50 0.0382178
51 0.0382178
52 0.0382178
53 0.0392079
54 0.0378218
55 0.0359406
56 0.0338614
57 0.0354455
58 0.0346535
59 0.0376238
60 0.0338614
61 0.0334653
62 0.0351485
63 0.0357426
64 0.0349505
65 0.0365347
66 0.0360396
67 0.0380198
68 0.0368317
69 0.0377228
70 0.0383168
71 0.0383168
72 0.0383168
73 0.039901
74 0.0384158
75 0.0390099
76 0.0349505
77 0.0357426
78 0.0354455
79 0.0355446
80 0.0318812
81 0.0335644
82 0.0323762
83 0.0333663
84 0.0351485
85 0.0366337
86 0.0372277
87 0.040099
88 0.0391089
89 0.0368317
90 0.0393069
91 0.0376238
92 0.0364356
93 0.0356436
94 0.0359406
95 0.0357426
96 0.0364356
97 0.0361386
98 0.0378218
99 0.0376238
100 0.039901
